team,matches,ema_goals_for,ema_goals_against,ema_points,last_date
Kyrgyzstan,191,0.8685564851133806,1.4147476869080189,0.8020350466766917,2026-06-09 00:00:00+00:00
Kárpátalja,11,2.2620872954251023,1.0606318667923018,1.9862684103544896,2018-06-09 00:00:00+00:00
Laos,224,0.8213448279756207,2.7995921270517248,0.4639660697143955,2025-11-19 00:00:00+00:00
Latvia,461,0.5195062003392521,1.4726415695165282,0.5029041883036827,2026-06-09 00:00:00+00:00
Lebanon,333,1.8930480518361936,0.6915713097371625,1.702468009609763,2025-11-26 00:00:00+00:00
Lesotho,296,0.5925602331452446,1.314981793794697,0.8995893414921021,2026-06-04 00:00:00+00:00
Liberia,302,1.2559864152124849,1.4150548982068527,1.1335864014962809,2026-06-09 00:00:00+00:00
Libya,384,1.0069708836857605,0.8046754870421682,1.422111161955136,2026-03-31 00:00:00+00:00
Liechtenstein,259,0.305460587093894,2.768322178860976,0.3345379015860803,2026-06-07 00:00:00+00:00
Lithuania,433,0.575405978479297,1.4983092209656277,0.6087536581600341,2026-06-09 00:00:00+00:00
Luhansk PR,6,1.5644323296800002,1.881340387856,1.2851860896800005,2019-12-08 00:00:00+00:00
Luxembourg,467,0.3360505541048759,1.3266562580124686,0.7017722549696009,2026-06-06 00:00:00+00:00
Macau,148,0.375841459365681,3.034296565042106,0.1482799116879147,2026-03-29 00:00:00+00:00
Madagascar,320,1.6512944119579775,1.9197177902794296,1.4608540894707027,2026-06-02 00:00:00+00:00
Madrid,1,1.205,1.3850000000000002,1.025,2013-06-07 00:00:00+00:00
Malawi,644,0.7274151913632483,0.8644464003881569,1.004015628008008,2026-06-09 00:00:00+00:00
Malaysia,835,2.1338462029317844,0.6494096124055599,2.475415143992692,2025-11-18 00:00:00+00:00
Maldives,233,0.413329913294199,1.896767433790428,0.3540126112899799,2026-06-01 00:00:00+00:00
Mali,569,0.7531909635082398,0.8854829839312619,1.0042867757866838,2026-06-04 00:00:00+00:00
Malta,458,1.2058948392075806,1.8166564736729915,1.2115138636353169,2026-06-05 00:00:00+00:00
Manchukuo,3,0.6892100000000002,2.9886020000000006,0.6892100000000002,1942-08-09 00:00:00+00:00
Mapuche,2,1.3805,1.1681,1.3805,2022-06-18 00:00:00+00:00
Marshall Islands,2,1.2005,1.9709000000000003,0.8405000000000001,2025-08-16 00:00:00+00:00
Martinique,331,0.5916831480544272,1.1675960143795612,0.6850250044319258,2026-03-29 00:00:00+00:00
Matabeleland,8,0.8684667473620546,1.1661170916025667,1.3986697594598725,2022-05-25 00:00:00+00:00
Maule Sur,2,1.1681,0.8405000000000001,1.8233000000000004,2022-06-19 00:00:00+00:00
Mauritania,273,0.6543788923640803,1.1169194126042383,1.031227353843459,2026-06-08 00:00:00+00:00
Mauritius,325,0.5257681253480188,1.5302990951069866,0.4787467093559478,2025-10-13 00:00:00+00:00
Mayotte,38,1.0576080249094264,0.7028681815603546,1.4875326866144072,2023-08-26 00:00:00+00:00
Menorca,25,1.582465684848091,1.4644104524612045,1.0008992223077864,2023-07-13 00:00:00+00:00
Mexico,1006,2.0047094142762942,0.2928575617416202,2.594842844254748,2026-06-25 01:00:00+00:00
Micronesia,7,0.9480134275856004,7.44166520788256,0.5557525886096002,2003-07-07 00:00:00+00:00
Moldova,299,1.034013072812649,2.431631955222963,0.4879832671820117,2026-06-09 00:00:00+00:00
Monaco,24,1.216977568683014,3.2713664814676986,1.2887150541687944,2017-04-29 00:00:00+00:00
Mongolia,103,0.4012744422690629,2.552761930218764,0.4819039789585053,2026-06-05 00:00:00+00:00
Montenegro,170,1.5208647536744544,1.6719997928228816,1.4576235592667666,2026-06-05 00:00:00+00:00
Montserrat,66,0.643389722639553,1.7563835233642446,0.8520167967998127,2025-06-10 00:00:00+00:00
Morocco,621,2.586523835561789,1.1275269837363724,2.486092606278444,2026-06-30 01:00:00+00:00
Mozambique,375,0.8433591636632577,1.851232437825456,0.7447343994994445,2026-06-09 00:00:00+00:00
Myanmar,512,1.696567037653046,2.6878067437022564,1.103686750080448,2026-06-09 00:00:00+00:00
Namibia,279,0.3934266055109376,1.5860660777136448,0.5623054162331306,2026-03-28 00:00:00+00:00
Nepal,268,0.6236664588553928,1.4998481220598834,0.5529335135755141,2025-11-18 00:00:00+00:00
Netherlands,883,2.7133815871040534,1.5754854134304377,1.7959846223249227,2026-06-30 01:00:00+00:00
New Caledonia,265,1.777888647601459,1.0336072815089885,1.6585175063008426,2026-03-26 00:00:00+00:00
New Zealand,419,1.172065679278162,2.528800647598695,0.5146016836952073,2026-06-27 03:00:00+00:00
Nicaragua,222,0.5425336132229549,2.050417591849148,0.6341965723581723,2026-06-05 00:00:00+00:00
Niger,260,0.8888548174405354,1.1045049243948633,0.9526549073857358,2026-06-08 00:00:00+00:00
